type,bridge,MV
VanGogh,0.21047342,0.88554794
VanGogh,0.45301437,0.779668
VanGogh,0.59867626,0.7310475
VanGogh,0.6958634,0.71836275
VanGogh,0.29791158,0.8119094
VanGogh,0.03177122,1.0
VanGogh,0.7927597,0.625078
VanGogh,0.5847946,0.77601355
VanGogh,0.20032848,0.8138962
VanGogh,0.7363989,0.6877264
VanGogh,0.13731837,0.8769519
VanGogh,0.10434938,0.6620517
VanGogh,0.16924588,0.729733
VanGogh,0.6477543,0.52280533
VanGogh,0.23087578,0.4743184
VanGogh,0.3628576,0.654787
VanGogh,0.53563935,0.7985313
VanGogh,0.19539969,0.6999056
VanGogh,0.5111525,0.5365434
VanGogh,0.7610667,0.6355543
VanGogh,0.4663519,0.77371573
VanGogh,0.36098063,0.81684875
