type,bridge,MV,path
Monet,0.8667005,0.0,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(178)_0000.png
Monet,0.8192258,0.35012576,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(179)_0000.png
Monet,0.8711753,0.24187954,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(180)_0000.png
Monet,0.6276771,0.17768222,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(181)_0000.png
Monet,0.90891933,0.069672376,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(182)_0000.png
Monet,0.8299233,0.12805788,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(183)_0000.png
Monet,0.7932678,0.25140977,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(184)_0000.png
Monet,0.85283417,0.30570233,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(185)_0000.png
Monet,1.0,0.20098212,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(186)_0000.png
Monet,0.18587741,0.45138377,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(187)_0000.png
Monet,0.8415983,0.10264633,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(188)_0000.png
Monet,0.7518651,0.21896763,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(189)_0000.png
Monet,0.70692945,0.25418603,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(190)_0000.png
Monet,0.8265093,0.11542738,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(191)_0000.png
Monet,0.81226,0.13056107,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(192)_0000.png
Monet,0.8197647,0.18873395,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(43)_0000.png
Monet,0.26775634,0.42441013,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(44)_0000.png
Monet,0.7888499,0.13712582,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(45)_0000.png
Monet,0.7669535,0.05597187,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(46)_0000.png
Monet,0.83144933,0.19397724,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(47)_0000.png
Monet,0.34358034,0.27428675,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(48)_0000.png
Monet,0.68471575,0.24079357,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(49)_0000.png
Monet,0.78718984,0.18845093,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(50)_0000.png
Monet,0.8194771,0.20313455,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(51)_0000.png
Monet,0.74125636,0.20719948,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(52)_0000.png
Monet,0.91001433,0.14177948,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(53)_0000.png
Monet,0.9206699,0.27939206,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(54)_0000.png
Monet,0.76485157,0.24107428,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(55)_0000.png
Monet,0.83967197,0.14759679,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(56)_0000.png
Monet,0.75426066,0.2483863,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(57)_0000.png
Monet,0.74497765,0.30011982,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(58)_0000.png
Monet,0.48757598,0.27817097,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(59)_0000.png
Monet,0.86937475,0.22465566,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(60)_0000.png
Monet,0.5423503,0.2298461,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(61)_0000.png
Monet,0.8159629,0.22635199,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(62)_0000.png
Monet,0.8142828,0.1302651,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(63)_0000.png
Monet,0.91774684,0.20293754,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(64)_0000.png
Monet,0.24636951,0.36656904,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(65)_0000.png
Monet,0.8275705,0.26422966,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(66)_0000.png
Monet,0.6727633,0.4227324,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(67)_0000.png
Monet,0.62031865,0.13462387,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(68)_0000.png
Monet,0.78748167,0.18835837,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(69)_0000.png
Monet,0.9064474,0.18102117,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(70)_0000.png
Monet,0.7776167,0.12600103,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(71)_0000.png
Monet,0.6703003,0.24734502,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(72)_0000.png
Monet,0.76545304,0.12998492,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(73)_0000.png
Monet,0.7647554,0.2157326,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(74)_0000.png
Monet,0.9167127,0.077913776,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(75)_0000.png
Monet,0.92542374,0.22764793,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(76)_0000.png
Monet,0.81132126,0.114198305,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(77)_0000.png
Monet,0.8132063,0.071319945,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(78)_0000.png
Monet,0.5951841,0.18832503,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(79)_0000.png
Monet,0.68406785,0.32246017,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(80)_0000.png
Monet,0.6999786,0.10633443,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(81)_0000.png
Monet,0.82645816,0.21980764,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(82)_0000.png
Monet,0.73107535,0.23133248,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(83)_0000.png
Monet,0.85233957,0.21937336,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(84)_0000.png
Monet,0.7884998,0.056232188,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(85)_0000.png
Monet,0.8365549,0.14767233,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(86)_0000.png
Monet,0.7183804,0.07043276,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(87)_0000.png
Monet,0.70589244,0.23221311,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(88)_0000.png
Monet,0.79264635,0.27499217,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(89)_0000.png
Monet,0.85129076,0.27056158,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(90)_0000.png
Monet,0.7755796,0.15949048,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(91)_0000.png
Monet,0.9038067,0.13775338,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(92)_0000.png
Monet,0.9850897,0.063886456,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(93)_0000.png
Monet,0.8611086,0.14228895,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(94)_0000.png
Monet,0.68530256,0.32082874,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(95)_0000.png
Monet,0.85307693,0.20095606,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(96)_0000.png
Monet,0.57223827,0.23768976,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(97)_0000.png
Monet,0.743158,0.14572082,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(98)_0000.png
Monet,0.77371216,0.18187873,./static/AWaterLilyPondMonet/20221215AWaterLilyPondMonet(99)_0000.png
VanGogh,0.649428,0.687554,./static/AWaterLilyPondVanGogh/20221215AWaterLilyPondVanGogh(192)_0000.png
